# Really good reference, not easily parseable:
#  http://obelisk.me.uk/6502/reference.html

# OpCodes in a table that i can parse!
#  http://visual6502.org/wiki/index.php?title=6502_all_256_Opcodes


# A = Opcode in Hex
# B = Mnemonic
# C = number of bytes of opcode
# D = Number of CPU cycles

imm   immediate
rel   relative
izx   indirect x
izy   indirect y
abs   absolute
abx   absolute zero-page x
aby   absolute zero-page y
zp    zero-page   
zpx   zero-page x
zpy   zero-page y
imp   implied (blank below)


#A    B            C D
#BEGIN_OP_CODES
 0x00 BRK imp 7    1 0
 0x01 ORA izx 6    2 6
 0x02 *KIL imp     1 1
 0x03 *SLO izx 8   2 8
 0x04 *NOP zp 3    2 3
 0x05 ORA zp 3     2 3
 0x06 ASL zp 5     2 5
 0x07 *SLO zp 5    2 5
 0x08 PHP imp 3    1 3
 0x09 ORA imm 2    2 2
 0x0A ASL imp 2    1 2
 0x0B *ANC imm 2   2 2
 0x0C *NOP abs 4   3 4
 0x0D ORA abs 4    3 4
 0x0E ASL abs 6    3 6
 0x0F *SLO abs 6   3 6
 0x10 BPL rel 2*   2 3
 0x11 ORA izy 5*   2 5
 0x12 *KIL imp     1 1
 0x13 *SLO izy 8   2 8
 0x14 *NOP zpx 4   2 4
 0x15 ORA zpx 4    2 4
 0x16 ASL zpx 6    2 6
 0x17 *SLO zpx 6   2 6
 0x18 CLC imp 2    1 2
 0x19 ORA aby 4*   3 4
 0x1A *NOP imp 2   1 2
 0x1B *SLO aby 7   3 7
 0x1C *NOP abx 4*  3 4
 0x1D ORA abx 4*   3 4
 0x1E ASL abx 7    3 7
 0x1F *SLO abx 7   3 7
 0x20 JSR abs 6    3 6
 0x21 AND izx 6    2 6
 0x22 *KIL imp     1 1
 0x23 *RLA izx 8   2 8
 0x24 BIT zp 3     2 3
 0x25 AND zp 3     2 3
 0x26 ROL zp 5     2 5
 0x27 *RLA zp 5    2 5
 0x28 PLP imp 4    1 4
 0x29 AND imm 2    2 2
 0x2A ROL imp 2    1 2
 0x2B *ANC imm 2   2 2
 0x2C BIT abs 4    3 4
 0x2D AND abs 4    3 4
 0x2E ROL abs 6    3 6
 0x2F *RLA abs 6   3 6
 0x30 BMI rel 2*   2 2
 0x31 AND izy 5*   2 5
 0x32 *KIL imp     1 1
 0x33 *RLA izy 8   2 8
 0x34 *NOP zpx 4   2 4
 0x35 AND zpx 4    2 4
 0x36 ROL zpx 6    2 6
 0x37 *RLA zpx 6   2 6
 0x38 SEC imp 2    1 2
 0x39 AND aby 4*   3 4
 0x3A *NOP imp 2   1 2
 0x3B *RLA aby 7   3 7
 0x3C *NOP abx 4*  3 4
 0x3D AND abx 4*   3 4
 0x3E ROL abx 7    3 7
 0x3F *RLA abx 7   3 7
 0x40 RTI imp 6    1 6
 0x41 EOR izx 6    2 6
 0x42 *KIL imp     1 1
 0x43 *SRE izx 8   2 8
 0x44 *NOP zp 3    2 3
 0x45 EOR zp 3     2 3
 0x46 LSR zp 5     2 5
 0x47 *SRE zp 5    2 5
 0x48 PHA imp 3    1 3
 0x49 EOR imm 2    2 2
 0x4A LSR imp 2    1 2
 0x4B *ALR imm 2   2 2
 0x4C JMP abs 3    3 3
 0x4D EOR abs 4    3 4
 0x4E LSR abs 6    3 6
 0x4F *SRE abs 6   3 6
 0x50 BVC rel 2*   2 3
 0x51 EOR izy 5*   2 5
 0x52 *KIL imp     1 1
 0x53 *SRE izy 8   2 8
 0x54 *NOP zpx 4   2 4
 0x55 EOR zpx 4    2 4
 0x56 LSR zpx 6    2 6
 0x57 *SRE zpx 6   2 6
 0x58 CLI imp 2    1 2
 0x59 EOR aby 4*   3 4
 0x5A *NOP imp 2   1 2
 0x5B *SRE aby 7   3 7
 0x5C *NOP abx 4*  3 4
 0x5D EOR abx 4*   3 4
 0x5E LSR abx 7    3 7
 0x5F *SRE abx 7   3 7
 0x60 RTS imp 6    1 6
 0x61 ADC izx 6    2 6
 0x62 *KIL imp     1 1
 0x63 *RRA izx 8   2 8
 0x64 *NOP zp 3    2 3
 0x65 ADC zp 3     2 3
 0x66 ROR zp 5     2 5
 0x67 *RRA zp 5    2 5
 0x68 PLA imp 4    1 4
 0x69 ADC imm 2    2 2
 0x6A ROR imp 2    1 2
 0x6B *ARR imm 2   2 2
 0x6C JMP ind 5    3 5
 0x6D ADC abs 4    3 4
 0x6E ROR abs 6    3 6
 0x6F *RRA abs 6   3 6
 0x70 BVS rel 2*   2 2
 0x71 ADC izy 5*   2 5
 0x72 *KIL imp     1 1
 0x73 *RRA izy 8   2 8
 0x74 *NOP zpx 4   2 4
 0x75 ADC zpx 4    2 4
 0x76 ROR zpx 6    2 6
 0x77 *RRA zpx 6   2 6
 0x78 SEI imp 2    1 2
 0x79 ADC aby 4*   3 4
 0x7A *NOP imp 2   1 2
 0x7B *RRA aby 7   3 7
 0x7C *NOP abx 4*  3 4
 0x7D ADC abx 4*   3 4
 0x7E ROR abx 7    3 7
